rider_id,signup_date,city,is_minority
1,2022-06-22,Boston,1
2,2024-07-09,San Francisco,1
3,2023-09-28,San Francisco,1
4,2022-10-29,Seattle,1
5,2023-09-28,Boston,0
6,2025-01-01,Austin,0
7,2023-07-18,Austin,1
8,2022-03-06,San Francisco,1
9,2023-04-25,San Francisco,0
10,2023-06-25,Chicago,0
11,2022-01-25,Chicago,1
12,2022-04-13,Austin,1
13,2022-01-08,Chicago,0
14,2022-01-20,Boston,1
15,2025-09-10,Chicago,1
16,2023-12-26,San Francisco,1
17,2023-04-18,Boston,1
18,2022-10-23,Austin,0
19,2023-03-27,Austin,0
20,2025-05-25,San Francisco,0
21,2024-04-24,Chicago,0
22,2025-02-28,Boston,0
23,2023-01-15,Boston,1
24,2022-09-04,Chicago,0
25,2025-01-18,Seattle,1
26,2023-10-21,Boston,0
27,2022-01-14,Boston,0
28,2024-06-13,Chicago,0
29,2023-10-13,Chicago,0
30,2023-02-09,San Francisco,1
31,2023-11-06,Austin,1
32,2022-02-21,Austin,0
33,2024-04-21,Chicago,0
34,2022-02-22,Austin,0
35,2022-09-17,Austin,0
36,2022-03-23,Austin,1
37,2024-10-05,San Francisco,1
38,2022-02-20,Boston,0
39,2025-05-28,Austin,1
40,2023-06-16,Seattle,1
41,2023-10-22,Seattle,0
42,2024-10-29,Chicago,1
43,2022-11-20,San Francisco,1
44,2023-12-20,Chicago,0
45,2024-05-31,Chicago,0
46,2024-01-20,Seattle,1
47,2024-04-29,Chicago,0
48,2023-07-01,Seattle,0
49,2022-11-15,Seattle,0
50,2023-03-19,Austin,1
51,2024-08-31,Seattle,0
52,2025-11-22,San Francisco,0
53,2022-07-05,San Francisco,0
54,2022-06-18,San Francisco,0
55,2024-10-29,San Francisco,1
56,2025-03-25,Boston,1
57,2024-07-06,San Francisco,1
58,2024-10-23,Seattle,0
59,2022-01-18,Seattle,0
60,2022-03-24,Chicago,0
61,2023-02-04,Chicago,1
62,2025-10-08,San Francisco,1
63,2024-03-05,San Francisco,1
64,2024-12-27,Chicago,0
65,2022-01-05,Austin,0
66,2024-07-29,Seattle,0
67,2025-03-02,San Francisco,0
68,2024-06-02,San Francisco,0
69,2024-09-29,Austin,1
70,2024-05-13,Austin,0
71,2025-05-20,San Francisco,0
72,2023-06-15,Austin,1
73,2025-05-01,Boston,1
74,2024-01-28,Seattle,0
75,2023-05-27,San Francisco,1
76,2023-08-08,Chicago,1
77,2022-07-12,Austin,0
78,2025-07-05,San Francisco,0
79,2025-09-19,Chicago,0
80,2023-05-09,Seattle,0
81,2025-07-01,San Francisco,1
82,2022-04-14,San Francisco,0
83,2024-11-12,Chicago,0
84,2025-07-26,Austin,1
85,2023-08-16,Chicago,0
86,2022-12-17,San Francisco,0
87,2022-04-28,Austin,0
88,2024-07-12,Chicago,0
89,2024-07-04,Seattle,1
90,2024-09-20,San Francisco,0
91,2023-02-13,San Francisco,1
92,2023-09-15,Chicago,0
93,2023-11-14,San Francisco,0
94,2023-02-04,Chicago,1
95,2023-10-04,Boston,0
96,2022-09-21,San Francisco,0
97,2025-11-27,Austin,1
98,2023-03-26,Boston,0
99,2023-04-04,Boston,0
100,2024-09-23,San Francisco,0
101,2025-06-08,Boston,0
102,2023-01-09,San Francisco,1
103,2023-03-12,Boston,0
104,2022-08-17,Austin,1
105,2022-08-10,Seattle,0
106,2022-03-26,Boston,0
107,2024-12-28,Austin,0
108,2023-01-30,Boston,1
109,2023-01-01,Austin,1
110,2023-03-19,Seattle,0
111,2022-10-17,Chicago,0
