ride_id,rider_id,driver_id,city,pickup_at,distance_mi,surge_mult,rider_rating,duration_min,fare_usd
1,3898,72,Chicago,2025-12-26 15:25:00,6.06,1,3,19.4,10.94
2,473,752,Seattle,2025-10-04 11:50:00,9.94,1.22,5,28.6,19.69
3,1020,303,Austin,2025-11-06 09:55:00,9.7,1.29,5,29.8,19.98
4,2568,532,Seattle,2025-05-08 01:20:00,2.66,1.14,5,9.6,7.45
5,3486,401,Austin,2025-04-30 18:55:00,16.53,1.61,4,50.8,42.4
6,296,455,San Francisco,2025-12-20 13:20:00,4.28,1.3,5,14.8,10.58
7,2111,198,Chicago,2025-03-15 21:05:00,4.43,1,5,14.5,8.8
8,3448,625,San Francisco,2025-07-02 10:10:00,6.46,1,5,20.2,12.31
9,1614,728,San Francisco,2025-11-05 13:15:00,9.05,1.02,5,23.9,16.48
10,1855,274,Chicago,2025-11-30 04:10:00,3.52,1.06,5,12.6,7.55
11,2300,715,San Francisco,2025-04-18 22:15:00,7.6,1,5,21.9,14.31
12,247,88,Austin,2025-03-01 20:30:00,5.91,1,4,16.2,12.27
13,1962,38,San Francisco,2025-07-13 14:40:00,1.39,1.7,5,1.8,5.36
14,2687,373,Seattle,2025-02-07 19:40:00,3.24,1.18,5,10.8,8.46
15,393,297,Austin,2025-07-14 19:45:00,3.11,1.35,4,8.8,7.71
16,755,300,Seattle,2025-11-26 08:35:00,3.31,1,4,7,7.89
17,701,346,Chicago,2025-09-06 03:05:00,3.68,1.88,5,7.5,13.28
18,800,752,Austin,2025-07-28 00:15:00,1.98,1.02,4,5.7,5.4
19,2191,132,San Francisco,2025-02-09 04:05:00,4.88,1.77,5,14.5,16.37
20,3185,361,Boston,2025-08-19 17:50:00,4.01,1,3,12.7,9.84
21,144,588,Chicago,2025-09-24 04:40:00,5.52,1.57,4,18.7,17.03
22,1392,235,Chicago,2025-04-17 00:30:00,3.8,1.32,4,13.4,9.07
23,3066,42,San Francisco,2025-05-27 10:45:00,5.53,1,NA,16.8,10.14
24,1135,205,Boston,2025-03-12 10:15:00,12.99,1.32,5,42.9,27.11
25,3775,503,San Francisco,2025-08-20 21:00:00,2.38,1,5,9.4,7.33
26,959,20,Chicago,2025-06-12 10:10:00,2.27,1.42,5,7,6.67
27,1720,212,Boston,2025-09-20 19:55:00,7.31,1.39,5,19.7,18.61
28,1836,391,Boston,2025-10-04 18:00:00,5.2,1.59,5,16.4,14.78
29,2074,624,Boston,2025-09-23 18:00:00,9.12,1,3,28.7,18.13
30,3352,20,Austin,2025-10-23 00:50:00,3.83,1.09,4,11.3,9.27
31,2188,103,Boston,2025-05-01 08:00:00,3.51,1.17,5,10.4,7.96
32,2834,558,Chicago,2025-02-02 13:00:00,4.93,1.5,5,13.4,12.06
33,338,64,Austin,2025-09-26 14:45:00,7.59,1.04,5,23.7,14.79
34,3164,213,Seattle,2025-08-05 18:05:00,2.48,1.12,5,5.3,6.41
35,3853,87,San Francisco,2025-12-08 02:50:00,2.82,1.21,3,10.6,7.27
36,783,13,Chicago,2025-11-28 17:25:00,13.04,1.37,5,37.4,29.43
37,835,657,Austin,2025-09-21 13:45:00,5.25,1.08,5,13.5,12.79
38,3209,169,Boston,2025-09-29 07:55:00,11.43,1,4,34.5,20.59
39,2414,59,Chicago,2025-04-17 21:30:00,3.66,1.42,5,6,9.42
